Year,Nationality code,Sex,Age group,Immigrant count,Predictions_rnn_agg,Lower limit_agg,Upper limit_agg
2008,DZA,Both,65+,61,82,67,132
2008,DZA,Both,All,5524,6274,4590,6345
2008,DZA,Females,0 - 14,330,312,246,456
2008,DZA,Females,15 - 24,465,370,275,450
2008,DZA,Females,25 - 34,687,634,442,687
2008,DZA,Females,35 - 44,263,252,223,378
2008,DZA,Females,45 - 54,117,121,112,183
2008,DZA,Females,55 - 64,77,64,63,104
2008,DZA,Females,65+,27,29,27,55
2008,DZA,Females,All,1968,2193,1557,2223
2008,DZA,Males,0 - 14,428,490,444,748
2008,DZA,Males,15 - 24,700,641,525,819
2008,ARG,Females,65+,362,311,299,463
2008,CUB,Males,0 - 14,469,585,418,607
2008,ARG,Females,All,6764,6601,5393,7443
2008,ARG,Males,15 - 24,1223,1007,733,1238
2008,BRA,Females,All,12214,12866,8023,12431
2008,BRA,Males,0 - 14,1647,1795,1258,1940
2008,BRA,Males,15 - 24,2307,2604,1669,2513
2008,BRA,Males,25 - 34,2880,2852,1819,2873
2008,BRA,Males,35 - 44,988,1114,728,1164
2008,BRA,Males,45 - 54,340,399,246,420
2008,BRA,Males,55 - 64,85,109,73,116
2008,BRA,Females,65+,84,92,68,114
2008,BRA,Males,65+,27,29,23,41
2008,BGR,Both,0 - 14,1752,1580,1458,2062
2008,BGR,Both,15 - 24,2414,2712,2107,3104
2008,BGR,Both,25 - 34,2695,2620,2270,3388
2008,BGR,Both,35 - 44,1882,1961,1727,2421
2008,BGR,Both,45 - 54,1336,1243,1116,1534
2008,BGR,Both,55 - 64,529,580,471,722
2008,BGR,Both,65+,159,226,167,313
2008,BRA,Males,All,8275,10369,5555,8581
2008,BRA,Females,55 - 64,235,252,204,312
2008,BRA,Females,45 - 54,727,644,525,791
2008,BRA,Females,35 - 44,1762,1709,1197,1845
2008,ARG,Males,25 - 34,2451,1772,1491,2211
2008,ARG,Males,35 - 44,958,1072,718,1038
2008,ARG,Males,45 - 54,460,456,341,500
2008,ARG,Males,55 - 64,276,230,191,297
2008,ARG,Males,65+,169,181,154,238
2008,ARG,Males,All,6599,5632,4859,6824
2008,BRA,Both,0 - 14,3224,3247,2530,3837
2008,BRA,Both,15 - 24,5551,5800,3973,5721
2008,BRA,Both,25 - 34,7464,6547,4563,6911
2008,BRA,Both,35 - 44,2750,3092,2002,3056
2008,BRA,Both,45 - 54,1067,1071,815,1183
2008,BRA,Both,55 - 64,320,359,276,423
2008,BRA,Both,65+,111,114,90,156
2008,BRA,Both,All,20489,21929,13562,20420
2008,BRA,Females,0 - 14,1578,1688,1326,2036
2008,BRA,Females,15 - 24,3243,3157,2225,3362
2008,BRA,Females,25 - 34,4583,3697,2669,4162
2008,ARG,Males,0 - 14,1062,941,718,1140
2008,CUB,Males,15 - 24,632,782,539,869
2008,DZA,Both,15 - 24,1166,1003,832,1227
2008,HND,Males,15 - 24,386,460,246,449
2008,HND,Both,15 - 24,1224,1458,1025,1587
2008,HND,Both,25 - 34,1772,1602,1194,1790
2008,HND,Both,35 - 44,730,624,531,778
2008,HND,Both,45 - 54,299,239,197,315
2008,HND,Both,55 - 64,68,78,50,92
2008,HND,Both,65+,23,24,20,33
2008,HND,Both,All,4551,4475,3696,5482
2008,HND,Both,0 - 14,434,594,451,814
2008,HND,Females,0 - 14,223,302,249,516
2008,HND,Females,25 - 34,1282,1179,859,1367
2008,HND,Females,35 - 44,512,408,387,586
2008,HND,Females,45 - 54,241,194,148,251
2008,HND,Females,55 - 64,55,67,39,79
2008,HND,Females,65+,19,20,16,26
2008,HND,Females,All,3172,3357,2641,4230
2008,HND,Males,0 - 14,211,261,161,294
2008,HND,Females,15 - 24,838,1109,711,1232
2008,CUB,Males,25 - 34,1081,1092,767,1128
2008,DEU,Males,All,5549,5689,4978,6581
2008,DEU,Males,55 - 64,745,737,608,875
