Year,Nationality code,Sex,Age group,Immigrant count,Prediction_rn_noagg,Lower limit_noagg,Upper limit_noagg
2009,MAR,Females,25 - 34,6297,5659,3949,5706
2009,CHN,Females,0 - 14,1142,1100,741,1223
2009,CHN,Females,15 - 24,1733,1704,1585,2507
2009,CHN,Females,25 - 34,1642,1681,1226,2083
2009,CHN,Females,35 - 44,1013,863,737,1143
2009,CHN,Females,45 - 54,328,323,305,526
2009,CHN,Females,55 - 64,162,153,112,245
2009,CHN,Females,65+,87,81,55,141
2009,CHN,Males,0 - 14,1247,993,831,1492
2009,CHN,Males,15 - 24,1529,1478,1321,2013
2009,CHN,Males,25 - 34,1439,1376,1037,1634
2009,CHN,Males,35 - 44,1021,905,697,1061
2009,CHN,Males,45 - 54,329,385,277,480
2009,CHN,Males,55 - 64,103,119,90,176
2009,CHN,Males,65+,104,69,43,104
2009,BGR,Females,35 - 44,646,716,592,806
2009,BGR,Females,45 - 54,454,462,383,553
2009,BGR,Females,55 - 64,263,245,213,334
2009,BGR,Females,65+,125,129,98,160
2009,BGR,Males,0 - 14,521,590,507,732
2009,BGR,Males,15 - 24,999,780,676,995
2009,BGR,Males,25 - 34,977,1004,826,1158
2009,BGR,Males,45 - 54,438,410,390,555
2009,BGR,Males,55 - 64,187,168,151,239
2009,BGR,Males,65+,55,61,44,80
2009,BGR,Males,35 - 44,682,715,670,946
2009,CUB,Females,15 - 24,588,673,493,707
2009,CUB,Females,25 - 34,785,822,727,1001
2009,CUB,Females,35 - 44,604,717,540,752
2009,CUB,Females,45 - 54,373,508,410,587
2009,CUB,Females,55 - 64,308,290,276,387
2009,CUB,Females,65+,192,234,187,290
2009,CUB,Females,0 - 14,346,380,293,447
2009,COL,Males,65+,92,86,69,139
2009,COL,Males,55 - 64,163,141,127,213
2009,COL,Males,45 - 54,553,554,408,676
2009,COL,Females,0 - 14,2336,1993,1563,2816
2009,COL,Females,15 - 24,2580,2943,2369,3408
2009,COL,Females,25 - 34,3334,3586,3210,4490
2009,COL,Females,35 - 44,1647,2018,1509,2398
2009,COL,Females,45 - 54,834,991,804,1216
2009,COL,Females,55 - 64,369,453,364,599
2009,COL,Females,65+,260,270,203,374
