Total Nacional, Comunidad Autónoma y Provincia;Nacionalidad;Periodo;Total
14 Córdoba;Europa menos UE27_2020;2021;334
14 Córdoba;Noruega;2022;0
14 Córdoba;Noruega;2021;3
14 Córdoba;Reino Unido;2022;62
14 Córdoba;Reino Unido;2021;153
14 Córdoba;Suiza;2022;1
14 Córdoba;Suiza;2021;5
14 Córdoba;Ucrania;2022;422
14 Córdoba;Ucrania;2021;25
14 Córdoba;Moldavia;2022;16
14 Córdoba;Moldavia;2021;9
14 Córdoba;Rusia;2022;19
14 Córdoba;Rusia;2021;14
14 Córdoba;Otro país del resto de Europa;2022;179
14 Córdoba;Otro país del resto de Europa;2021;125
14 Córdoba;De Africa;2022;1.050
14 Córdoba;De Africa;2021;965
14 Córdoba;Argelia;2022;58
14 Córdoba;Argelia;2021;82
14 Córdoba;Gambia;2022;19
14 Córdoba;Gambia;2021;29
14 Córdoba;Ghana;2022;6
14 Córdoba;Ghana;2021;8
14 Córdoba;Guinea;2022;23
14 Córdoba;Guinea;2021;29
14 Córdoba;Guinea Ecuatorial;2022;8
14 Córdoba;Guinea Ecuatorial;2021;7
14 Córdoba;Mali;2022;75
14 Córdoba;Mali;2021;62
14 Córdoba;Marruecos;2022;563
14 Córdoba;Marruecos;2021;545
14 Córdoba;Mauritania;2022;19
14 Córdoba;Mauritania;2021;16
14 Córdoba;Nigeria;2022;21
14 Córdoba;Nigeria;2021;12
14 Córdoba;Senegal;2022;120
14 Córdoba;Senegal;2021;73
14 Córdoba;Otro país de África;2022;138
14 Córdoba;Otro país de África;2021;102
14 Córdoba;América del Norte;2022;108
14 Córdoba;América del Norte;2021;85
14 Córdoba;Estados Unidos de América;2022;37
14 Córdoba;Estados Unidos de América;2021;40
14 Córdoba;México;2022;62
14 Córdoba;México;2021;40
14 Córdoba;Canadá;2022;9
14 Córdoba;Canadá;2021;5
14 Córdoba;De Centro América y Caribe;2022;1.091
14 Córdoba;De Centro América y Caribe;2021;572
14 Córdoba;Cuba;2022;89
14 Córdoba;Cuba;2021;48
14 Córdoba;Honduras;2022;526
14 Córdoba;Honduras;2021;225
14 Córdoba;Nicaragua;2022;298
14 Córdoba;Nicaragua;2021;174
14 Córdoba;República Dominicana;2022;26
14 Córdoba;República Dominicana;2021;24
14 Córdoba;Otro país de Centro América y Caribe;2022;152
14 Córdoba;Otro país de Centro América y Caribe;2021;101
14 Córdoba;De Sudamérica;2022;2.084
14 Córdoba;De Sudamérica;2021;827
14 Córdoba;Argentina;2022;154
14 Córdoba;Argentina;2021;72
14 Córdoba;Bolivia;2022;22
14 Córdoba;Bolivia;2021;25
14 Córdoba;Brasil;2022;66
14 Córdoba;Brasil;2021;52
14 Córdoba;Colombia;2022;961
14 Córdoba;Colombia;2021;285
14 Córdoba;Chile;2022;28
14 Córdoba;Chile;2021;13
14 Córdoba;Ecuador;2022;80
14 Córdoba;Ecuador;2021;41
14 Córdoba;Paraguay;2022;260
