National Total;Nationality;Periodo;Total
National Total;De América del Norte;2014;9.530
National Total;De América del Norte;2013;9.538
National Total;De América del Norte;2012;9.876
National Total;De América del Norte;2011;10.272
National Total;De América del Norte;2010;8.109
National Total;De América del Norte;2009;7.714
National Total;De América del Norte;2008;8.939
National Total;United States of America;2021;8.903
National Total;United States of America;2020;5.542
National Total;United States of America;2019;9.114
National Total;United States of America;2018;8.199
National Total;United States of America;2017;7.471
National Total;United States of America;2016;5.918
National Total;United States of America;2015;5.626
National Total;United States of America;2014;5.290
National Total;United States of America;2013;5.527
National Total;United States of America;2012;4.946
National Total;United States of America;2011;5.019
National Total;United States of America;2010;3.695
National Total;United States of America;2009;3.492
National Total;United States of America;2008;3.690
National Total;Mexico;2021;5.778
National Total;Mexico;2020;3.653
National Total;Mexico;2019;6.169
National Total;Mexico;2018;5.339
National Total;Mexico;2017;5.036
National Total;Mexico;2016;3.849
National Total;Mexico;2015;3.914
National Total;Mexico;2014;3.555
National Total;Mexico;2013;3.332
National Total;Mexico;2012;4.294
National Total;Mexico;2011;4.591
National Total;Mexico;2010;3.921
National Total;Mexico;2009;3.815
National Total;Mexico;2008;4.832
National Total;Canada;2021;1.171
National Total;Canada;2020;755
National Total;Canada;2019;1.050
National Total;Canada;2018;992
National Total;Canada;2017;872
National Total;Canada;2016;731
National Total;Canada;2015;713
National Total;Canada;2014;684
National Total;Canada;2013;678
National Total;Canada;2012;636
National Total;Canada;2011;662
National Total;Canada;2010;493
National Total;Canada;2009;407
National Total;Canada;2008;417
National Total;De Centro América y Caribe;2021;34.997
National Total;De Centro América y Caribe;2020;45.834
National Total;De Centro América y Caribe;2019;79.473
National Total;De Centro América y Caribe;2018;61.988
National Total;De Centro América y Caribe;2017;47.564
National Total;De Centro América y Caribe;2016;33.183
National Total;De Centro América y Caribe;2015;25.343
National Total;De Centro América y Caribe;2014;23.229
National Total;De Centro América y Caribe;2013;21.818
National Total;De Centro América y Caribe;2012;26.117
National Total;De Centro América y Caribe;2011;30.324
National Total;De Centro América y Caribe;2010;22.966
National Total;De Centro América y Caribe;2009;23.396
National Total;De Centro América y Caribe;2008;35.657
National Total;Cuba;2021;9.587
National Total;Cuba;2020;6.429
National Total;Cuba;2019;14.162
National Total;Cuba;2018;11.328
National Total;Cuba;2017;8.006
National Total;Cuba;2016;5.871
National Total;Cuba;2015;4.853
National Total;Cuba;2014;4.608
National Total;Cuba;2013;5.116
National Total;Cuba;2012;5.730
National Total;Cuba;2011;7.399
National Total;Cuba;2010;6.114
National Total;Cuba;2009;5.634
National Total;Cuba;2008;8.911
National Total;Honduras;2021;10.311
National Total;Honduras;2020;18.663
National Total;Honduras;2019;29.080
National Total;Honduras;2018;23.439
National Total;Honduras;2017;18.282
National Total;Honduras;2016;10.895
National Total;Honduras;2015;7.632
National Total;Honduras;2014;5.681
National Total;Honduras;2013;4.342
National Total;Honduras;2012;5.285
National Total;Honduras;2011;6.261
National Total;Honduras;2010;4.703
National Total;Honduras;2009;3.695
National Total;Honduras;2008;4.551
National Total;Nicaragua;2021;3.677
National Total;Nicaragua;2020;9.238
National Total;Nicaragua;2019;17.112
National Total;Nicaragua;2018;11.394
National Total;Nicaragua;2017;6.170
National Total;Nicaragua;2016;4.110
National Total;Nicaragua;2015;3.098
National Total;Nicaragua;2014;2.693
National Total;Nicaragua;2013;2.134
National Total;Nicaragua;2012;2.768
National Total;Nicaragua;2011;3.590
National Total;Nicaragua;2010;2.966
National Total;Nicaragua;2009;2.354
National Total;Nicaragua;2008;2.893
National Total;Dominican Republic;2021;6.381
National Total;Dominican Republic;2020;5.144
National Total;Dominican Republic;2019;8.657
National Total;Dominican Republic;2018;8.482
National Total;Dominican Republic;2017;9.284
National Total;Dominican Republic;2016;8.058
National Total;Dominican Republic;2015;6.705
National Total;Dominican Republic;2014;7.675
National Total;Dominican Republic;2013;8.117
National Total;Dominican Republic;2012;9.974
National Total;Dominican Republic;2011;10.359
National Total;Dominican Republic;2010;6.907
National Total;Dominican Republic;2009;9.486
National Total;Dominican Republic;2008;16.211
National Total;Other Central American and Caribbean countries;2021;5.041
National Total;Other Central American and Caribbean countries;2020;6.360
National Total;Other Central American and Caribbean countries;2019;10.462
National Total;Other Central American and Caribbean countries;2018;7.345
National Total;Other Central American and Caribbean countries;2017;5.822
National Total;Other Central American and Caribbean countries;2016;4.248
National Total;Other Central American and Caribbean countries;2015;3.055
National Total;Other Central American and Caribbean countries;2014;2.572
National Total;Other Central American and Caribbean countries;2013;2.109
National Total;Other Central American and Caribbean countries;2012;2.360
National Total;Other Central American and Caribbean countries;2011;2.714
National Total;Other Central American and Caribbean countries;2010;2.277
National Total;Other Central American and Caribbean countries;2009;2.227
National Total;Other Central American and Caribbean countries;2008;3.090
National Total;De Sudamérica;2021;123.932
National Total;De Sudamérica;2020;138.970
National Total;De Sudamérica;2019;234.961
National Total;De Sudamérica;2018;177.717
National Total;De Sudamérica;2017;130.286
National Total;De Sudamérica;2016;88.890
National Total;De Sudamérica;2015;54.801
National Total;De Sudamérica;2014;46.377
National Total;De Sudamérica;2013;42.244
National Total;De Sudamérica;2012;47.412
National Total;De Sudamérica;2011;63.763
National Total;De Sudamérica;2010;66.834
National Total;De Sudamérica;2009;91.842
National Total;De Sudamérica;2008;175.909
National Total;Argentina;2021;15.722
National Total;Argentina;2020;10.738
National Total;Argentina;2019;17.947
National Total;Argentina;2018;11.085
National Total;Argentina;2017;8.783
National Total;Argentina;2016;6.352
National Total;Argentina;2015;4.986
National Total;Argentina;2014;4.173
National Total;Argentina;2013;3.758
National Total;Argentina;2012;3.602
National Total;Argentina;2011;4.922
National Total;Argentina;2010;5.416
National Total;Argentina;2009;6.676
National Total;Argentina;2008;13.363
National Total;Bolivia;2021;3.633
National Total;Bolivia;2020;3.057
National Total;Bolivia;2019;6.171
National Total;Bolivia;2018;6.074
National Total;Bolivia;2017;6.349
National Total;Bolivia;2016;5.272
National Total;Bolivia;2015;4.284
National Total;Bolivia;2014;4.138
National Total;Bolivia;2013;3.589
National Total;Bolivia;2012;3.871
National Total;Bolivia;2011;4.562
National Total;Bolivia;2010;4.045
National Total;Bolivia;2009;5.872
National Total;Bolivia;2008;10.390
National Total;Brazil;2021;7.165
National Total;Brazil;2020;8.738
National Total;Brazil;2019;16.545
National Total;Brazil;2018;15.504
National Total;Brazil;2017;12.503
National Total;Brazil;2016;9.715
National Total;Brazil;2015;7.086
National Total;Brazil;2014;5.644
National Total;Brazil;2013;5.076
National Total;Brazil;2012;6.397
National Total;Brazil;2011;7.945
National Total;Brazil;2010;8.691
National Total;Brazil;2009;10.473
National Total;Brazil;2008;20.489
National Total;Colombia;2021;39.798
National Total;Colombia;2020;51.408
National Total;Colombia;2019;76.816
National Total;Colombia;2018;53.302
National Total;Colombia;2017;34.106
National Total;Colombia;2016;22.594
National Total;Colombia;2015;9.368
National Total;Colombia;2014;8.451
National Total;Colombia;2013;8.688
National Total;Colombia;2012;9.955
National Total;Colombia;2011;13.161
National Total;Colombia;2010;13.664
National Total;Colombia;2009;20.409
National Total;Colombia;2008;36.040
National Total;Chile;2021;4.188
National Total;Chile;2020;2.710
National Total;Chile;2019;4.378
National Total;Chile;2018;3.794
National Total;Chile;2017;3.412
National Total;Chile;2016;2.705
National Total;Chile;2015;2.122
National Total;Chile;2014;1.885
National Total;Chile;2013;1.647
National Total;Chile;2012;2.005
National Total;Chile;2011;2.669
National Total;Chile;2010;2.757
National Total;Chile;2009;3.060
National Total;Chile;2008;5.197
National Total;Ecuador;2021;7.292
National Total;Ecuador;2020;5.813
National Total;Ecuador;2019;10.654
National Total;Ecuador;2018;9.286
National Total;Ecuador;2017;8.844
National Total;Ecuador;2016;6.762
National Total;Ecuador;2015;5.252
National Total;Ecuador;2014;4.943
National Total;Ecuador;2013;5.262
National Total;Ecuador;2012;5.581
National Total;Ecuador;2011;6.523
National Total;Ecuador;2010;6.939
National Total;Ecuador;2009;13.512
National Total;Ecuador;2008;32.464
National Total;Paraguay;2021;4.378
National Total;Paraguay;2020;6.475
National Total;Paraguay;2019;11.981
National Total;Paraguay;2018;9.303
National Total;Paraguay;2017;8.364
National Total;Paraguay;2016;7.169
National Total;Paraguay;2015;4.668
National Total;Paraguay;2014;4.239
National Total;Paraguay;2013;3.762
National Total;Paraguay;2012;4.797
National Total;Paraguay;2011;8.224
National Total;Paraguay;2010;9.371
National Total;Paraguay;2009;10.765
National Total;Paraguay;2008;17.407
National Total;Peru;2021;16.060
National Total;Peru;2020;18.117
National Total;Peru;2019;28.579
National Total;Peru;2018;19.339
National Total;Peru;2017;13.875
National Total;Peru;2016;7.954
National Total;Peru;2015;5.255
National Total;Peru;2014;4.674
National Total;Peru;2013;4.844
National Total;Peru;2012;5.593
National Total;Peru;2011;7.660
National Total;Peru;2010;8.021
National Total;Peru;2009;13.664
