National Total;Nationality;Periodo;Total
02 Aragón;Spanish ;2008;488
02 Aragón;País de la UE27_2020 sin España;2021;2.106
02 Aragón;País de la UE27_2020 sin España;2020;2.042
02 Aragón;País de la UE27_2020 sin España;2019;""
02 Aragón;País de la UE27_2020 sin España;2018;""
02 Aragón;País de la UE27_2020 sin España;2017;""
02 Aragón;País de la UE27_2020 sin España;2016;""
02 Aragón;País de la UE27_2020 sin España;2015;""
02 Aragón;País de la UE27_2020 sin España;2014;""
02 Aragón;País de la UE27_2020 sin España;2013;""
02 Aragón;País de la UE27_2020 sin España;2012;""
02 Aragón;País de la UE27_2020 sin España;2011;""
02 Aragón;País de la UE27_2020 sin España;2010;""
02 Aragón;País de la UE27_2020 sin España;2009;""
02 Aragón;País de la UE27_2020 sin España;2008;""
02 Aragón;País de la UE28 sin España;2021;""
02 Aragón;País de la UE28 sin España;2020;""
02 Aragón;País de la UE28 sin España;2019;3.331
02 Aragón;País de la UE28 sin España;2018;3.510
02 Aragón;País de la UE28 sin España;2017;3.190
02 Aragón;País de la UE28 sin España;2016;2.742
02 Aragón;País de la UE28 sin España;2015;2.263
02 Aragón;País de la UE28 sin España;2014;2.177
02 Aragón;País de la UE28 sin España;2013;1.932
02 Aragón;País de la UE28 sin España;2012;2.344
02 Aragón;País de la UE28 sin España;2011;3.895
02 Aragón;País de la UE28 sin España;2010;4.381
02 Aragón;País de la UE28 sin España;2009;3.665
02 Aragón;País de la UE28 sin España;2008;7.585
02 Aragón;Belgium;2021;19
02 Aragón;Belgium;2020;30
02 Aragón;Belgium;2019;22
02 Aragón;Belgium;2018;20
02 Aragón;Belgium;2017;19
02 Aragón;Belgium;2016;19
02 Aragón;Belgium;2015;9
02 Aragón;Belgium;2014;11
02 Aragón;Belgium;2013;12
02 Aragón;Belgium;2012;22
02 Aragón;Belgium;2011;10
02 Aragón;Belgium;2010;5
02 Aragón;Belgium;2009;12
02 Aragón;Belgium;2008;17
02 Aragón;Bulgaria;2021;191
02 Aragón;Bulgaria;2020;176
02 Aragón;Bulgaria;2019;292
02 Aragón;Bulgaria;2018;266
02 Aragón;Bulgaria;2017;195
02 Aragón;Bulgaria;2016;172
02 Aragón;Bulgaria;2015;164
02 Aragón;Bulgaria;2014;162
02 Aragón;Bulgaria;2013;190
02 Aragón;Bulgaria;2012;204
02 Aragón;Bulgaria;2011;370
02 Aragón;Bulgaria;2010;307
02 Aragón;Bulgaria;2009;206
02 Aragón;Bulgaria;2008;414
02 Aragón;Denmark;2021;2
02 Aragón;Denmark;2020;3
02 Aragón;Denmark;2019;5
02 Aragón;Denmark;2018;3
02 Aragón;Denmark;2017;4
02 Aragón;Denmark;2016;2
02 Aragón;Denmark;2015;4
02 Aragón;Denmark;2014;4
02 Aragón;Denmark;2013;3
02 Aragón;Denmark;2012;6
02 Aragón;Denmark;2011;3
02 Aragón;Denmark;2010;3
02 Aragón;Denmark;2009;4
02 Aragón;Denmark;2008;""
02 Aragón;Finland;2021;3
02 Aragón;Finland;2020;1
02 Aragón;Finland;2019;4
02 Aragón;Finland;2018;3
02 Aragón;Finland;2017;7
02 Aragón;Finland;2016;1
02 Aragón;Finland;2015;3
02 Aragón;Finland;2014;2
02 Aragón;Finland;2013;3
02 Aragón;Finland;2012;1
02 Aragón;Finland;2011;5
02 Aragón;Finland;2010;4
02 Aragón;Finland;2009;1
02 Aragón;Finland;2008;2
02 Aragón;France;2021;196
02 Aragón;France;2020;156
02 Aragón;France;2019;132
02 Aragón;France;2018;145
02 Aragón;France;2017;153
02 Aragón;France;2016;124
02 Aragón;France;2015;125
02 Aragón;France;2014;113
02 Aragón;France;2013;86
02 Aragón;France;2012;164
02 Aragón;France;2011;93
02 Aragón;France;2010;118
02 Aragón;France;2009;101
02 Aragón;France;2008;129
02 Aragón;Ireland;2021;16
02 Aragón;Ireland;2020;6
02 Aragón;Ireland;2019;13
02 Aragón;Ireland;2018;12
02 Aragón;Ireland;2017;10
02 Aragón;Ireland;2016;14
02 Aragón;Ireland;2015;10
02 Aragón;Ireland;2014;8
02 Aragón;Ireland;2013;11
02 Aragón;Ireland;2012;6
02 Aragón;Ireland;2011;21
02 Aragón;Ireland;2010;6
02 Aragón;Ireland;2009;4
02 Aragón;Ireland;2008;6
02 Aragón;Italy;2021;233
02 Aragón;Italy;2020;190
02 Aragón;Italy;2019;260
02 Aragón;Italy;2018;236
02 Aragón;Italy;2017;186
02 Aragón;Italy;2016;97
02 Aragón;Italy;2015;91
02 Aragón;Italy;2014;56
02 Aragón;Italy;2013;72
02 Aragón;Italy;2012;79
02 Aragón;Italy;2011;80
02 Aragón;Italy;2010;77
02 Aragón;Italy;2009;91
02 Aragón;Italy;2008;166
02 Aragón;Netherlands;2021;56
02 Aragón;Netherlands;2020;36
02 Aragón;Netherlands;2019;40
02 Aragón;Netherlands;2018;45
02 Aragón;Netherlands;2017;44
02 Aragón;Netherlands;2016;40
02 Aragón;Netherlands;2015;30
02 Aragón;Netherlands;2014;27
02 Aragón;Netherlands;2013;28
02 Aragón;Netherlands;2012;23
02 Aragón;Netherlands;2011;34
02 Aragón;Netherlands;2010;19
02 Aragón;Netherlands;2009;26
02 Aragón;Netherlands;2008;51
02 Aragón;Poland;2021;60
02 Aragón;Poland;2020;42
02 Aragón;Poland;2019;58
02 Aragón;Poland;2018;63
02 Aragón;Poland;2017;50
02 Aragón;Poland;2016;76
02 Aragón;Poland;2015;69
02 Aragón;Poland;2014;58
02 Aragón;Poland;2013;135
02 Aragón;Poland;2012;96
02 Aragón;Poland;2011;117
02 Aragón;Poland;2010;122
02 Aragón;Poland;2009;181
02 Aragón;Poland;2008;520
02 Aragón;Portugal;2021;74
02 Aragón;Portugal;2020;84
02 Aragón;Portugal;2019;128
02 Aragón;Portugal;2018;113
02 Aragón;Portugal;2017;89
02 Aragón;Portugal;2016;69
02 Aragón;Portugal;2015;51
02 Aragón;Portugal;2014;58
02 Aragón;Portugal;2013;66
02 Aragón;Portugal;2012;81
02 Aragón;Portugal;2011;105
02 Aragón;Portugal;2010;118
02 Aragón;Portugal;2009;162
02 Aragón;Portugal;2008;703
02 Aragón;Germany;2021;41
02 Aragón;Germany;2020;80
02 Aragón;Germany;2019;58
02 Aragón;Germany;2018;74
02 Aragón;Germany;2017;59
02 Aragón;Germany;2016;29
02 Aragón;Germany;2015;40
02 Aragón;Germany;2014;29
02 Aragón;Germany;2013;30
02 Aragón;Germany;2012;48
02 Aragón;Germany;2011;38
02 Aragón;Germany;2010;23
02 Aragón;Germany;2009;39
02 Aragón;Germany;2008;70
02 Aragón;Romania;2021;1.145
02 Aragón;Romania;2020;1.165
02 Aragón;Romania;2019;2.097
02 Aragón;Romania;2018;2.330
02 Aragón;Romania;2017;2.211
02 Aragón;Romania;2016;1.941
02 Aragón;Romania;2015;1.547
02 Aragón;Romania;2014;1.564
02 Aragón;Romania;2013;1.176
02 Aragón;Romania;2012;1.475
02 Aragón;Romania;2011;2.910
02 Aragón;Romania;2010;3.456
02 Aragón;Romania;2009;2.736
02 Aragón;Romania;2008;5.336
02 Aragón;Sweden;2021;6
02 Aragón;Sweden;2020;7
02 Aragón;Sweden;2019;7
02 Aragón;Sweden;2018;2
02 Aragón;Sweden;2017;7
02 Aragón;Sweden;2016;7
02 Aragón;Sweden;2015;9
02 Aragón;Sweden;2014;10
02 Aragón;Sweden;2013;1
02 Aragón;Sweden;2012;13
02 Aragón;Sweden;2011;6
02 Aragón;Sweden;2010;""
02 Aragón;Sweden;2009;4
02 Aragón;Sweden;2008;6
02 Aragón;Lithuania;2021;10
02 Aragón;Lithuania;2020;9
02 Aragón;Lithuania;2019;9
02 Aragón;Lithuania;2018;15
02 Aragón;Lithuania;2017;11
02 Aragón;Lithuania;2016;19
02 Aragón;Lithuania;2015;9
02 Aragón;Lithuania;2014;4
02 Aragón;Lithuania;2013;14
02 Aragón;Lithuania;2012;17
02 Aragón;Lithuania;2011;27
02 Aragón;Lithuania;2010;23
02 Aragón;Lithuania;2009;18
02 Aragón;Lithuania;2008;30
02 Aragón;Other countries of the European Union;2021;54
02 Aragón;Other countries of the European Union;2020;57
02 Aragón;Other countries of the European Union;2019;58
02 Aragón;Other countries of the European Union;2018;70
02 Aragón;Other countries of the European Union;2017;55
02 Aragón;Other countries of the European Union;2016;55
02 Aragón;Other countries of the European Union;2015;43
02 Aragón;Other countries of the European Union;2014;35
02 Aragón;Other countries of the European Union;2013;54
02 Aragón;Other countries of the European Union;2012;37
02 Aragón;Other countries of the European Union;2011;39
02 Aragón;Other countries of the European Union;2010;44
02 Aragón;Other countries of the European Union;2009;44
02 Aragón;Other countries of the European Union;2008;71
02 Aragón;País de Europa menos UE27_2020;2021;286
02 Aragón;País de Europa menos UE27_2020;2020;301
02 Aragón;País de Europa menos UE27_2020;2019;""
02 Aragón;País de Europa menos UE27_2020;2018;""
02 Aragón;País de Europa menos UE27_2020;2017;""
02 Aragón;País de Europa menos UE27_2020;2016;""
02 Aragón;País de Europa menos UE27_2020;2015;""
02 Aragón;País de Europa menos UE27_2020;2014;""
02 Aragón;País de Europa menos UE27_2020;2013;""
02 Aragón;País de Europa menos UE27_2020;2012;""
02 Aragón;País de Europa menos UE27_2020;2011;""
02 Aragón;País de Europa menos UE27_2020;2010;""
02 Aragón;País de Europa menos UE27_2020;2009;""
02 Aragón;País de Europa menos UE27_2020;2008;""
02 Aragón;United Kingdom;2021;93
02 Aragón;United Kingdom;2020;127
02 Aragón;United Kingdom;2019;148
02 Aragón;United Kingdom;2018;113
02 Aragón;United Kingdom;2017;90
02 Aragón;United Kingdom;2016;80
02 Aragón;United Kingdom;2015;59
02 Aragón;United Kingdom;2014;36
02 Aragón;United Kingdom;2013;52
02 Aragón;United Kingdom;2012;72
02 Aragón;United Kingdom;2011;36
02 Aragón;United Kingdom;2010;55
02 Aragón;United Kingdom;2009;35
02 Aragón;United Kingdom;2008;63
02 Aragón;País de Europa menos UE28;2021;""
02 Aragón;País de Europa menos UE28;2020;""
02 Aragón;País de Europa menos UE28;2019;388
02 Aragón;País de Europa menos UE28;2018;375
02 Aragón;País de Europa menos UE28;2017;236
02 Aragón;País de Europa menos UE28;2016;182
02 Aragón;País de Europa menos UE28;2015;182
02 Aragón;País de Europa menos UE28;2014;181
02 Aragón;País de Europa menos UE28;2013;113
02 Aragón;País de Europa menos UE28;2012;148
02 Aragón;País de Europa menos UE28;2011;220
02 Aragón;País de Europa menos UE28;2010;213
02 Aragón;País de Europa menos UE28;2009;235
02 Aragón;País de Europa menos UE28;2008;415
02 Aragón;Norway;2021;7
02 Aragón;Norway;2020;8
02 Aragón;Norway;2019;3
02 Aragón;Norway;2018;2
02 Aragón;Norway;2017;3
02 Aragón;Norway;2016;2
02 Aragón;Norway;2015;""
02 Aragón;Norway;2014;5
02 Aragón;Norway;2013;1
02 Aragón;Norway;2012;1
02 Aragón;Norway;2011;2
02 Aragón;Norway;2010;5
02 Aragón;Norway;2009;4
02 Aragón;Norway;2008;4
02 Aragón;Switzerland;2021;8
02 Aragón;Switzerland;2020;7
02 Aragón;Switzerland;2019;5
02 Aragón;Switzerland;2018;6
02 Aragón;Switzerland;2017;11
02 Aragón;Switzerland;2016;3
02 Aragón;Switzerland;2015;4
02 Aragón;Switzerland;2014;4
02 Aragón;Switzerland;2013;1
02 Aragón;Switzerland;2012;4
02 Aragón;Switzerland;2011;4
02 Aragón;Switzerland;2010;2
02 Aragón;Switzerland;2009;6
02 Aragón;Switzerland;2008;4
02 Aragón;Ukraine;2021;72
02 Aragón;Ukraine;2020;60
02 Aragón;Ukraine;2019;215
02 Aragón;Ukraine;2018;141
02 Aragón;Ukraine;2017;112
02 Aragón;Ukraine;2016;88
02 Aragón;Ukraine;2015;107
02 Aragón;Ukraine;2014;104
02 Aragón;Ukraine;2013;36
02 Aragón;Ukraine;2012;71
02 Aragón;Ukraine;2011;90
02 Aragón;Ukraine;2010;83
02 Aragón;Ukraine;2009;95
02 Aragón;Ukraine;2008;188
02 Aragón;Moldova;2021;17
02 Aragón;Moldova;2020;14
02 Aragón;Moldova;2019;19
02 Aragón;Moldova;2018;19
02 Aragón;Moldova;2017;18
02 Aragón;Moldova;2016;28
02 Aragón;Moldova;2015;11
02 Aragón;Moldova;2014;11
02 Aragón;Moldova;2013;13
02 Aragón;Moldova;2012;4
02 Aragón;Moldova;2011;22
02 Aragón;Moldova;2010;22
02 Aragón;Moldova;2009;18
02 Aragón;Moldova;2008;71
02 Aragón;Russia;2021;46
02 Aragón;Russia;2020;37
02 Aragón;Russia;2019;46
02 Aragón;Russia;2018;94
02 Aragón;Russia;2017;54
02 Aragón;Russia;2016;29
02 Aragón;Russia;2015;24
02 Aragón;Russia;2014;36
02 Aragón;Russia;2013;38
02 Aragón;Russia;2012;38
02 Aragón;Russia;2011;76
02 Aragón;Russia;2010;85
02 Aragón;Russia;2009;83
02 Aragón;Russia;2008;97
02 Aragón;Other European Union countries;2021;43
02 Aragón;Other European Union countries;2020;48
02 Aragón;Other European Union countries;2019;100
02 Aragón;Other European Union countries;2018;113
02 Aragón;Other European Union countries;2017;38
02 Aragón;Other European Union countries;2016;33
02 Aragón;Other European Union countries;2015;36
02 Aragón;Other European Union countries;2014;21
02 Aragón;Other European Union countries;2013;24
02 Aragón;Other European Union countries;2012;31
02 Aragón;Other European Union countries;2011;27
02 Aragón;Other European Union countries;2010;15
02 Aragón;Other European Union countries;2009;28
02 Aragón;Other European Union countries;2008;50
02 Aragón;De Africa;2021;3.281
02 Aragón;De Africa;2020;2.440
02 Aragón;De Africa;2019;3.605
02 Aragón;De Africa;2018;2.903
02 Aragón;De Africa;2017;2.007
02 Aragón;De Africa;2016;1.613
02 Aragón;De Africa;2015;1.256
02 Aragón;De Africa;2014;1.204
02 Aragón;De Africa;2013;1.203
02 Aragón;De Africa;2012;1.322
02 Aragón;De Africa;2011;1.502
02 Aragón;De Africa;2010;1.636
02 Aragón;De Africa;2009;2.854
02 Aragón;De Africa;2008;5.245
02 Aragón;Algeria;2021;369
02 Aragón;Algeria;2020;298
02 Aragón;Algeria;2019;382
02 Aragón;Algeria;2018;288
02 Aragón;Algeria;2017;186
02 Aragón;Algeria;2016;168
02 Aragón;Algeria;2015;157
02 Aragón;Algeria;2014;134
02 Aragón;Algeria;2013;151
02 Aragón;Algeria;2012;125
02 Aragón;Algeria;2011;167
02 Aragón;Algeria;2010;197
02 Aragón;Algeria;2009;313
02 Aragón;Algeria;2008;472
02 Aragón;The Gambia;2021;146
02 Aragón;The Gambia;2020;149
02 Aragón;The Gambia;2019;204
02 Aragón;The Gambia;2018;173
02 Aragón;The Gambia;2017;131
02 Aragón;The Gambia;2016;137
02 Aragón;The Gambia;2015;106
02 Aragón;The Gambia;2014;125
02 Aragón;The Gambia;2013;110
02 Aragón;The Gambia;2012;140
02 Aragón;The Gambia;2011;147
02 Aragón;The Gambia;2010;167
02 Aragón;The Gambia;2009;217
02 Aragón;The Gambia;2008;245
02 Aragón;GHANA;2021;271
02 Aragón;GHANA;2020;174
02 Aragón;GHANA;2019;310
02 Aragón;GHANA;2018;216
02 Aragón;GHANA;2017;160
02 Aragón;GHANA;2016;91
02 Aragón;GHANA;2015;83
02 Aragón;GHANA;2014;82
02 Aragón;GHANA;2013;102
02 Aragón;GHANA;2012;116
02 Aragón;GHANA;2011;94
02 Aragón;GHANA;2010;83
02 Aragón;GHANA;2009;116
02 Aragón;GHANA;2008;214
02 Aragón;Guinea;2021;79
02 Aragón;Guinea;2020;50
02 Aragón;Guinea;2019;114
02 Aragón;Guinea;2018;101
02 Aragón;Guinea;2017;72
02 Aragón;Guinea;2016;75
02 Aragón;Guinea;2015;79
02 Aragón;Guinea;2014;69
02 Aragón;Guinea;2013;52
02 Aragón;Guinea;2012;54
02 Aragón;Guinea;2011;78
02 Aragón;Guinea;2010;66
02 Aragón;Guinea;2009;96
02 Aragón;Guinea;2008;184
02 Aragón;Equatorial Guinea;2021;55
02 Aragón;Equatorial Guinea;2020;27
02 Aragón;Equatorial Guinea;2019;96
02 Aragón;Equatorial Guinea;2018;105
02 Aragón;Equatorial Guinea;2017;105
02 Aragón;Equatorial Guinea;2016;110
02 Aragón;Equatorial Guinea;2015;69
02 Aragón;Equatorial Guinea;2014;65
02 Aragón;Equatorial Guinea;2013;44
02 Aragón;Equatorial Guinea;2012;37
02 Aragón;Equatorial Guinea;2011;77
02 Aragón;Equatorial Guinea;2010;112
02 Aragón;Equatorial Guinea;2009;112
02 Aragón;Equatorial Guinea;2008;140
02 Aragón;Mali;2021;206
02 Aragón;Mali;2020;110
02 Aragón;Mali;2019;174
02 Aragón;Mali;2018;105
02 Aragón;Mali;2017;87
02 Aragón;Mali;2016;80
02 Aragón;Mali;2015;63
02 Aragón;Mali;2014;79
02 Aragón;Mali;2013;52
02 Aragón;Mali;2012;55
02 Aragón;Mali;2011;67
02 Aragón;Mali;2010;67
02 Aragón;Mali;2009;86
02 Aragón;Mali;2008;177
02 Aragón;Morocco;2021;1.610
02 Aragón;Morocco;2020;1.257
02 Aragón;Morocco;2019;1.707
02 Aragón;Morocco;2018;1.356
02 Aragón;Morocco;2017;863
02 Aragón;Morocco;2016;615
02 Aragón;Morocco;2015;418
02 Aragón;Morocco;2014;378
02 Aragón;Morocco;2013;402
02 Aragón;Morocco;2012;525
02 Aragón;Morocco;2011;558
02 Aragón;Morocco;2010;638
02 Aragón;Morocco;2009;1.372
02 Aragón;Morocco;2008;2.845
02 Aragón;Mauritania;2021;26
02 Aragón;Mauritania;2020;4
02 Aragón;Mauritania;2019;21
02 Aragón;Mauritania;2018;21
02 Aragón;Mauritania;2017;6
02 Aragón;Mauritania;2016;33
02 Aragón;Mauritania;2015;25
02 Aragón;Mauritania;2014;23
02 Aragón;Mauritania;2013;11
02 Aragón;Mauritania;2012;17
02 Aragón;Mauritania;2011;12
02 Aragón;Mauritania;2010;7
02 Aragón;Mauritania;2009;33
02 Aragón;Mauritania;2008;70
02 Aragón;Nigeria;2021;60
02 Aragón;Nigeria;2020;38
02 Aragón;Nigeria;2019;57
02 Aragón;Nigeria;2018;37
02 Aragón;Nigeria;2017;33
02 Aragón;Nigeria;2016;39
02 Aragón;Nigeria;2015;38
02 Aragón;Nigeria;2014;26
02 Aragón;Nigeria;2013;37
02 Aragón;Nigeria;2012;38
02 Aragón;Nigeria;2011;29
02 Aragón;Nigeria;2010;40
02 Aragón;Nigeria;2009;60
02 Aragón;Nigeria;2008;115
02 Aragón;Senegal;2021;314
02 Aragón;Senegal;2020;225
02 Aragón;Senegal;2019;341
02 Aragón;Senegal;2018;297
02 Aragón;Senegal;2017;217
02 Aragón;Senegal;2016;165
02 Aragón;Senegal;2015;124
02 Aragón;Senegal;2014;131
02 Aragón;Senegal;2013;134
02 Aragón;Senegal;2012;130
02 Aragón;Senegal;2011;182
02 Aragón;Senegal;2010;171
02 Aragón;Senegal;2009;324
02 Aragón;Senegal;2008;531
02 Aragón;Other African countries;2021;145
02 Aragón;Other African countries;2020;108
02 Aragón;Other African countries;2019;199
02 Aragón;Other African countries;2018;204
02 Aragón;Other African countries;2017;147
02 Aragón;Other African countries;2016;100
02 Aragón;Other African countries;2015;94
02 Aragón;Other African countries;2014;93
02 Aragón;Other African countries;2013;109
02 Aragón;Other African countries;2012;85
02 Aragón;Other African countries;2011;90
02 Aragón;Other African countries;2010;87
02 Aragón;Other African countries;2009;124
02 Aragón;Other African countries;2008;250
02 Aragón;De América del Norte;2021;158
02 Aragón;De América del Norte;2020;109
02 Aragón;De América del Norte;2019;244
02 Aragón;De América del Norte;2018;191
02 Aragón;De América del Norte;2017;172
02 Aragón;De América del Norte;2016;149
02 Aragón;De América del Norte;2015;98
02 Aragón;De América del Norte;2014;97
02 Aragón;De América del Norte;2013;90
02 Aragón;De América del Norte;2012;93
02 Aragón;De América del Norte;2011;142
02 Aragón;De América del Norte;2010;97
02 Aragón;De América del Norte;2009;96
02 Aragón;De América del Norte;2008;172
02 Aragón;United States of America;2021;70
02 Aragón;United States of America;2020;54
02 Aragón;United States of America;2019;125
02 Aragón;United States of America;2018;110
02 Aragón;United States of America;2017;100
02 Aragón;United States of America;2016;91
02 Aragón;United States of America;2015;56
02 Aragón;United States of America;2014;44
02 Aragón;United States of America;2013;43
02 Aragón;United States of America;2012;26
02 Aragón;United States of America;2011;83
02 Aragón;United States of America;2010;47
02 Aragón;United States of America;2009;33
02 Aragón;United States of America;2008;57
02 Aragón;Mexico;2021;82
02 Aragón;Mexico;2020;49
02 Aragón;Mexico;2019;108
02 Aragón;Mexico;2018;69
02 Aragón;Mexico;2017;63
02 Aragón;Mexico;2016;52
02 Aragón;Mexico;2015;33
02 Aragón;Mexico;2014;50
02 Aragón;Mexico;2013;37
02 Aragón;Mexico;2012;60
02 Aragón;Mexico;2011;47
02 Aragón;Mexico;2010;46
02 Aragón;Mexico;2009;58
02 Aragón;Mexico;2008;109
02 Aragón;Canada;2021;6
02 Aragón;Canada;2020;6
02 Aragón;Canada;2019;11
02 Aragón;Canada;2018;12
02 Aragón;Canada;2017;9
02 Aragón;Canada;2016;5
02 Aragón;Canada;2015;8
02 Aragón;Canada;2014;4
02 Aragón;Canada;2013;9
02 Aragón;Canada;2012;6
02 Aragón;Canada;2011;11
02 Aragón;Canada;2010;4
02 Aragón;Canada;2009;5
02 Aragón;Canada;2008;6
02 Aragón;De Centro América y Caribe;2021;1.185
02 Aragón;De Centro América y Caribe;2020;1.922
02 Aragón;De Centro América y Caribe;2019;4.177
02 Aragón;De Centro América y Caribe;2018;3.694
02 Aragón;De Centro América y Caribe;2017;2.027
