Country Code,Year,Sex,Number of residents
SEN,2010,Female,10740
SEN,2009,Female,9320
SEN,2008,Female,7490
SEN,2007,Female,6529
SEN,2006,Female,6264
SEN,2005,Female,5437
SEN,2004,Female,4185
SEN,2003,Female,3645
SEN,2002,Female,2875
SEN,2001,Female,2219
SEN,2000,Female,1624
SEN,1999,Female,1267
SEN,1998,Female,976
CUB,2022,Male,29741
CUB,2021,Male,28774
CUB,2020,Male,29788
CUB,2019,Male,25392
CUB,2018,Male,21974
CUB,2017,Male,20140
CUB,2016,Male,20416
CUB,2015,Male,20708
CUB,2014,Male,22512
CUB,2013,Male,24365
CUB,2012,Male,24566
CUB,2011,Male,24442
CUB,2010,Male,24766
CUB,2009,Male,24683
CUB,2008,Male,22842
CUB,2007,Male,20309
CUB,2006,Male,20061
CUB,2005,Male,20353
CUB,2004,Male,17923
CUB,2003,Male,17346
CUB,2002,Male,14131
CUB,2001,Male,10541
CUB,2000,Male,7501
CUB,1999,Male,5467
CUB,1998,Male,4434
CUB,2022,Female,33877
CUB,2021,Female,33135
CUB,2020,Female,34846
CUB,2019,Female,30514
CUB,2018,Female,27283
CUB,2017,Female,25458
CUB,2016,Female,25814
CUB,2015,Female,25689
CUB,2014,Female,27894
CUB,2013,Female,30342
CUB,2012,Female,30392
CUB,2011,Female,30238
CUB,2010,Female,30188
CUB,2009,Female,29938
CUB,2008,Female,27917
CUB,2007,Female,25389
CUB,2006,Female,24678
CUB,2005,Female,24656
CUB,2004,Female,21751
CUB,2003,Female,20986
CUB,2002,Female,17701
CUB,2001,Female,13993
CUB,2000,Female,10313
CUB,1999,Female,7451
CUB,1998,Female,5920
HND,2022,Male,41863
HND,2021,Male,39193
HND,2020,Male,35422
HND,2019,Male,26080
HND,2018,Male,19788
HND,2017,Male,15483
HND,2016,Male,12986
HND,2015,Male,11493
HND,2014,Male,10989
HND,2013,Male,10752
HND,2012,Male,10078
HND,2011,Male,9058
HND,2010,Male,8475
HND,2009,Male,8233
HND,2008,Male,7299
HND,2007,Male,4895
HND,2006,Male,3269
HND,2005,Male,2537
HND,2004,Male,1848
HND,2003,Male,1450
HND,2002,Male,985
HND,2001,Male,633
HND,2000,Male,385
HND,1999,Male,294
HND,1998,Male,272
HND,2022,Female,92262
HND,2021,Female,90926
HND,2020,Female,86541
HND,2019,Female,70302
HND,2018,Female,55569
HND,2017,Female,43376
HND,2016,Female,36355
HND,2015,Female,31790
HND,2014,Female,29619
HND,2013,Female,28847
HND,2012,Female,25938
HND,2011,Female,21839
HND,2010,Female,18888
HND,2009,Female,17074
HND,2008,Female,14727
HND,2007,Female,9358
HND,2006,Female,5839
HND,2005,Female,4480
HND,2004,Female,3280
HND,2003,Female,2641
HND,2002,Female,1870
HND,2001,Female,1340
HND,2000,Female,908
HND,1999,Female,686
HND,1998,Female,613
NIC,2022,Male,18623
NIC,2021,Male,18465
NIC,2020,Male,16699
NIC,2019,Male,11099
NIC,2018,Male,7150
NIC,2017,Male,5722
NIC,2016,Male,4771
NIC,2015,Male,4457
NIC,2014,Male,4355
NIC,2013,Male,4350
NIC,2012,Male,4001
NIC,2011,Male,3554
NIC,2010,Male,3253
NIC,2009,Male,3121
NIC,2008,Male,2508
NIC,2007,Male,1378
NIC,2006,Male,841
NIC,2005,Male,701
NIC,2004,Male,550
NIC,2003,Male,507
NIC,2002,Male,393
NIC,2001,Male,313
NIC,2000,Male,252
NIC,1999,Male,214
NIC,1998,Male,211
NIC,2022,Female,42058
NIC,2021,Female,43098
NIC,2020,Female,40831
NIC,2019,Female,31150
NIC,2018,Female,24136
NIC,2017,Female,20487
NIC,2016,Female,17757
NIC,2015,Female,16484
NIC,2014,Female,15452
NIC,2013,Female,15260
NIC,2012,Female,13454
NIC,2011,Female,10962
NIC,2010,Female,8937
NIC,2009,Female,7694
NIC,2008,Female,5896
NIC,2007,Female,3169
NIC,2006,Female,1807
NIC,2005,Female,1252
NIC,2004,Female,932
NIC,2003,Female,830
NIC,2002,Female,683
NIC,2001,Female,550
NIC,2000,Female,448
NIC,1999,Female,363
NIC,1998,Female,341
DOM,2022,Male,32664
DOM,2021,Male,33251
DOM,2020,Male,34385
DOM,2019,Male,33186
DOM,2018,Male,32236
DOM,2017,Male,31091
DOM,2016,Male,31899
DOM,2015,Male,33228
DOM,2014,Male,36849
DOM,2013,Male,40020
DOM,2012,Male,39990
DOM,2011,Male,39046
DOM,2010,Male,38827
DOM,2009,Male,37327
DOM,2008,Male,32749
DOM,2007,Male,26561
DOM,2006,Male,24099
DOM,2005,Male,21503
DOM,2004,Male,17160
DOM,2003,Male,14554
