Year,Nationality code,Sex,Age group,Immigrant count,Liberal democracy index,Continent,Sub-region,Health equality,Judicial accountability,Public sector corrupt exchanges,One-sided violence_deaths,Non-state_deaths,Intrastate_deaths,Interstate_deaths,Number of residents,Political regime,Homicide Rate,Number of Turist,Spanish language,Restricciones_pandemia,Año post_pandemia
2008,ROU,Both,15 - 24,19180,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,731806,7,1.47,44400000,0,0,0
2008,ROU,Both,25 - 34,15689,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,731806,7,1.47,44400000,0,0,0
2008,ROU,Both,35 - 44,9068,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,731806,7,1.47,44400000,0,0,0
2008,ROU,Both,45 - 54,5027,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,731806,7,1.47,44400000,0,0,0
2008,ROU,Both,55 - 64,1714,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,731806,7,1.47,44400000,0,0,0
2008,ROU,Both,65+,532,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,731806,7,1.47,44400000,0,0,0
2008,ROU,Both,All,61262,0.491,Europe,European Union,0.69,0.62,0.33,0,0,0,0,731806,7,1.47,44400000,0,0,0
2008,PRY,Males,65+,20,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,23599,6,14.76,44400000,1,0,0
2008,RUS,Both,45 - 54,759,0.139,Europe,Rest of Europe,0.65,0.5,0.3,0,0,404,0,44669,3,12.71,44400000,0,0,0
2008,PRY,Males,55 - 64,72,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,23599,6,14.76,44400000,1,0,0
2008,PRY,Males,35 - 44,787,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,23599,6,14.76,44400000,1,0,0
2008,NIC,Females,25 - 34,838,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,5896,6,12.94,44400000,1,0,0
2008,NIC,Females,35 - 44,514,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,5896,6,12.94,44400000,1,0,0
2008,NIC,Females,45 - 54,175,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,5896,6,12.94,44400000,1,0,0
2008,NIC,Females,55 - 64,30,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,5896,6,12.94,44400000,1,0,0
2008,NIC,Females,65+,5,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,5896,6,12.94,44400000,1,0,0
2008,NIC,Females,All,2114,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,5896,6,12.94,44400000,1,0,0
2008,NIC,Males,0 - 14,67,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,2508,6,12.94,44400000,1,0,0
2008,NIC,Females,15 - 24,481,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,5896,6,12.94,44400000,1,0,0
2008,NIC,Males,15 - 24,205,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,2508,6,12.94,44400000,1,0,0
2008,NIC,Males,35 - 44,127,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,2508,6,12.94,44400000,1,0,0
2008,NIC,Males,45 - 54,36,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,2508,6,12.94,44400000,1,0,0
2008,NIC,Males,55 - 64,5,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,2508,6,12.94,44400000,1,0,0
2008,NIC,Males,65+,1,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,2508,6,12.94,44400000,1,0,0
2008,NIC,Males,All,779,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,2508,6,12.94,44400000,1,0,0
2008,PAK,Both,0 - 14,1240,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,47001,6,6.49,44400000,0,0,0
2008,PAK,Both,15 - 24,2205,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,47001,6,6.49,44400000,0,0,0
2008,NIC,Males,25 - 34,337,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,2508,6,12.94,44400000,1,0,0
